ID,Name,Hair,Feathers,Eggs,Milk,Airborne,Aquatic,Predator,Thoothed,Beckbone,Breathes,Venomus,Fins,Legs,Tail,Domestic,Catsize,Type
1,aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
2,antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
4,bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
5,boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
6,buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
7,calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
10,cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1
11,cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
18,deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
20,dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
23,elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
28,fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
29,giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
30,girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1
32,goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
33,gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1
36,hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1
37,hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
45,leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
46,lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
48,lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
49,mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1
50,mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
51,mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
55,opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
56,oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
64,platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1
65,polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
66,pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
67,porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
68,puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
69,pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
70,raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
71,reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
75,seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1
76,sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1
85,squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1
94,vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
95,vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
97,wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
99,wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
